year,geo,gender,age_group,education,employment_rate,unemployment_rate,participation_rate,education_ord
2014,Alberta,Men,15 years and over,Postgraduate,83.1,3.0,85.7,7
2014,Alberta,Women,15 years and over,Postgraduate,77.2,4.8,81.1,7
2014,British Columbia,Men,15 years and over,Postgraduate,73.1,4.0,76.2,7
2014,British Columbia,Women,15 years and over,Postgraduate,70.0,5.2,73.7,7
2014,Manitoba,Men,15 years and over,Postgraduate,73.7,2.7,75.7,7
2014,Manitoba,Women,15 years and over,Postgraduate,71.9,3.0,74.1,7
2014,New Brunswick,Men,15 years and over,Postgraduate,68.8,5.0,72.5,7
2014,New Brunswick,Women,15 years and over,Postgraduate,73.0,6.2,77.0,7
2014,Nova Scotia,Men,15 years and over,Postgraduate,70.0,3.9,72.8,7
2014,Nova Scotia,Women,15 years and over,Postgraduate,72.6,4.0,75.7,7
2014,Ontario,Men,15 years and over,Postgraduate,74.9,5.7,79.4,7
2014,Ontario,Women,15 years and over,Postgraduate,74.7,5.2,78.9,7
2014,Quebec,Men,15 years and over,Postgraduate,69.3,6.7,74.2,7
2014,Quebec,Women,15 years and over,Postgraduate,73.6,4.2,76.8,7
2014,Saskatchewan,Men,15 years and over,Postgraduate,79.3,2.9,81.7,7
2014,Alberta,Men,15 years and over,Post-Secondary,71.7,6.2,76.4,4
2014,Alberta,Women,15 years and over,Post-Secondary,63.7,3.8,66.1,4
2014,British Columbia,Men,15 years and over,Post-Secondary,59.5,9.5,65.7,4
2014,British Columbia,Women,15 years and over,Post-Secondary,55.9,7.2,60.2,4
2014,Manitoba,Men,15 years and over,Post-Secondary,74.7,5.8,79.3,4
2014,Manitoba,Women,15 years and over,Post-Secondary,70.6,4.7,74.1,4
2014,New Brunswick,Men,15 years and over,Post-Secondary,60.3,12.0,68.5,4
2014,New Brunswick,Women,15 years and over,Post-Secondary,56.7,8.2,61.8,4
2014,Newfoundland and Labrador,Men,15 years and over,Post-Secondary,59.1,14.5,69.1,4
